"Kod";"Nazwa";"ogółem;ogółem;2019;[osoba]";
0000000;"POLSKA";38382576;
0200000;"DOLNOŚLĄSKIE";2900163;
0201000;"Powiat bolesławiecki";90103;
0201011;"Bolesławiec (1)";38872;
0201022;"Bolesławiec (2)";14699;
0201032;"Gromadka (2)";5337;
0201043;"Nowogrodziec (3)";15214;
0201044;"Nowogrodziec - miasto (4)";4207;
0201045;"Nowogrodziec - obszar wiejski (5)";11007;
0201052;"Osiecznica (2)";7349;
0201062;"Warta Bolesławiecka (2)";8632;
0202000;"Powiat dzierżoniowski";100813;
0202011;"Bielawa (1)";29872;
0202021;"Dzierżoniów (1)";33137;
0202033;"Pieszyce (3)";9410;
0202034;"Pieszyce - miasto (4)";7095;
0202035;"Pieszyce - obszar wiejski (5)";2315;
0202041;"Piława Górna (1)";6394;
0202052;"Dzierżoniów (2)";9092;
0202062;"Łagiewniki (2)";7438;
0202073;"Niemcza (3)";5470;
0202074;"Niemcza - miasto (4)";2963;
0202075;"Niemcza - obszar wiejski (5)";2507;
0203000;"Powiat głogowski";89102;
0203011;"Głogów (1)";66980;
0203022;"Głogów (2)";6791;
0203032;"Jerzmanowa (2)";5156;
0203042;"Kotla (2)";4455;
0203052;"Pęcław (2)";2259;
0203062;"Żukowice (2)";3461;
0204000;"Powiat górowski";34870;
0204013;"Góra (3)";19878;
0204014;"Góra - miasto (4)";11678;
0204015;"Góra - obszar wiejski (5)";8200;
0204022;"Jemielno (2)";2997;
0204032;"Niechlów (2)";4840;
0204043;"Wąsosz (3)";7155;
0204044;"Wąsosz - miasto (4)";2660;
0204045;"Wąsosz - obszar wiejski (5)";4495;
0205000;"Powiat jaworski";50116;
0205011;"Jawor (1)";22758;
0205023;"Bolków (3)";10388;
0205024;"Bolków - miasto (4)";4967;
0205025;"Bolków - obszar wiejski (5)";5421;
0205032;"Męcinka (2)";5007;
0205042;"Mściwojów (2)";4054;
0205052;"Paszowice (2)";3997;
0205062;"Wądroże Wielkie (2)";3912;
0206000;"Powiat jeleniogórski";63591;
0206011;"Karpacz (1)";4570;
0206021;"Kowary (1)";10813;
0206031;"Piechowice (1)";6156;
0206041;"Szklarska Poręba (1)";6633;
0206052;"Janowice Wielkie (2)";4302;
0206062;"Jeżów Sudecki (2)";7456;
0206072;"Mysłakowice (2)";10160;
0206082;"Podgórzyn (2)";8249;
0206092;"Stara Kamienica (2)";5252;
0207000;"Powiat kamiennogórski";43239;
0207011;"Kamienna Góra (1)";18840;
0207022;"Kamienna Góra (2)";9035;
0207033;"Lubawka (3)";10851;
0207034;"Lubawka - miasto (4)";5989;
0207035;"Lubawka - obszar wiejski (5)";4862;
0207042;"Marciszów (2)";4513;
0208000;"Powiat kłodzki";157996;
0208011;"Duszniki-Zdrój (1)";4545;
0208021;"Kłodzko (1)";26742;
0208031;"Kudowa-Zdrój (1)";9886;
0208041;"Nowa Ruda (1)";21908;
0208051;"Polanica-Zdrój (1)";6307;
0208063;"Bystrzyca Kłodzka (3)";18825;
0208064;"Bystrzyca Kłodzka - miasto (4)";10047;
0208065;"Bystrzyca Kłodzka - obszar wiejski (5)";8778;
0208072;"Kłodzko (2)";17112;
0208083;"Lądek-Zdrój (3)";8210;
0208084;"Lądek-Zdrój - miasto (4)";5557;
0208085;"Lądek-Zdrój - obszar wiejski (5)";2653;
0208092;"Lewin Kłodzki (2)";1923;
0208103;"Międzylesie (3)";7168;
0208104;"Międzylesie - miasto (4)";2561;
0208105;"Międzylesie - obszar wiejski (5)";4607;
0208112;"Nowa Ruda (2)";11546;
